id,title,system,discipline,stage,location_scope,symptoms,likely_root_causes,field_checks,recommended_actions,rfi_template_question,risk_tags
MEP-011,"VAV damper stuck, reversed, or not tracking setpoint","VAV","Controls","Startup","VAV-07 / lab zone","Damper command changes but position does not; box saturates; room temp drifts; noisy airflow","Actuator failed; linkage slipping; reverse acting command; mechanical obstruction; controller output limits wrong","Command damper to multiple positions and verify movement; inspect linkage and blade for obstruction; trend command vs position feedback; verify actuator power and signal type; check output scaling and limits","Repair/replace actuator; fix linkage; correct signal direction/scaling; remove obstruction; validate control response under load","Please confirm damper actuator requirements (fail position; signal type; position feedback needed) for VAV-07 and whether it is intended to be direct-acting or reverse-acting in the sequence.","comfort; schedule"
MEP-012,"Reheat valve stuck open causing overheating or excessive energy use","VAV","Mechanical/Controls","Commissioning","VAV-18 / perimeter","Zone overheats in cooling season; reheat command 0% but leaving air temp high; energy consumption elevated","Valve installed backwards; actuator not calibrated; valve leaking; control logic calling heat due to sensor error; hot water loop DP too high causing leakage","Verify valve flow direction and labeling; command valve closed/open and measure leaving air temp response; check actuator stroke; trend heating demand vs room sensor reading; measure HW supply temp and DP","Correct valve orientation; repair/replace actuator or valve; recalibrate; adjust control logic and deadbands; add DP control if required","Please confirm the intended reheat control sequence (deadband; reheat lockout conditions) and whether reheat should be disabled during economizer or mild outdoor conditions.","energy; comfort; schedule"
MEP-013,"Room temperature oscillation due to control tuning or bad sensing","VAV","Controls","Commissioning","Typical office zone","Room temp swings around setpoint; frequent heating/cooling toggling; occupants complain","PID parameters too aggressive; sensor location near diffuser or exterior wall; short cycling due to tight deadband; incorrect units or offset; averaging logic missing","Trend room temp, setpoint, heating/cooling outputs; check sensor placement and exposure; compare with handheld thermometer; widen deadband temporarily; check control loop update rate","Retune loop; relocate/replace sensor; implement sensible deadband and minimum on/off times; correct offsets; consider averaging multiple sensors in large zones","Please confirm the required comfort deadband and whether the room sensor location is approved by design (or if relocation is permitted).","comfort; energy"
MEP-014,"VAV minimum airflow too low causing poor ventilation or pressurization drift","VAV","Mechanical/Controls","Commissioning","Meeting rooms / high occupancy","CO2 rises quickly; odors; room goes negative/positive unexpectedly; diffuser throw inadequate","Min flow set too low; occupancy assumptions wrong; demand-controlled ventilation not enabled; airflow station under-reading; schedule misapplied","Verify min flow setpoint and units; compare CO2 and occupancy patterns; check DCV enable and CO2 sensor calibration; confirm airflow measurement accuracy; verify schedule applied to the zone","Adjust min flow; enable DCV with safe limits; recalibrate sensors; update schedules; retest ventilation performance under expected occupancy","Please confirm the design minimum ventilation for this zone (per occupancy and code) and whether demand-controlled ventilation is intended for this space.","IAQ; compliance; comfort"
MEP-015,"Zone cannot meet cooling due to low airflow or incorrect max flow limit","VAV","TAB/Controls","TAB","VAV-03 / core zone","Zone warm; VAV at max command; measured airflow below expected; supply static pressure seems ok","Max airflow set too low; balancing damper too restricted; downstream duct leakage; box size mismatch; fan static insufficient at peak; damper travel limited","Verify max setpoint vs design; measure airflow and compare to terminal rating; inspect balancing dampers; check duct leakage/noise; confirm damper travel; verify upstream static pressure at peak","Correct max setpoints; adjust balancing dampers; fix leakage; verify box sizing vs design; coordinate fan/static adjustments if needed","Please confirm the design cooling airflow requirement for VAV-03 and whether the installed box size matches the scheduled equipment in the drawings.","comfort; schedule"
MEP-016,"Chilled water loop low ΔT (return temperature too low)","CHW","Mechanical/Controls","Commissioning","CHW loop / building-wide","CHW return temperature unexpectedly low; chiller plant efficiency poor; valves mostly open; difficulty meeting loads","Coils over-flowing; three-way valves or bypass mixing; CHW supply too cold causing low coil ΔT; control logic driving excessive flow; coil control valves oversized","Trend CHW supply/return temps and coil valve positions; identify bypass/three-way valves; check coil leaving air temp vs valve position; spot-check flow rates if meters exist; verify sequence for reset and limits","Correct bypass issues; adjust coil valve sizing/characterization; implement CHW temperature reset; tune valve control to avoid over-flow; verify commissioning targets for ΔT","Please confirm the intended CHW design ΔT and whether any three-way valves or bypass arrangements are permitted in the design for this project.","energy; cost; schedule"
MEP-017,"CHW pump VFD hunting or unstable differential pressure control","CHW","Controls","Startup","Pump room","DP setpoint swings; pumps ramp up/down; coil valves noisy; occasional low flow alarms","DP sensor placement poor; PID tuning unstable; min speed too low; sensor noise; multiple pumps sequencing conflicts; air entrainment","Inspect DP sensor taps and tubing; trend DP, setpoint, pump speed, pump staging; verify minimum speed and ramp rates; check air separator and venting; confirm pump lead/lag logic","Relocate DP sensor; retune control with rate limits; adjust minimum speed; clean up staging logic; address air in system; verify valve authority and noise","Please confirm the required CHW DP control location and reset strategy (e.g., based on most-open valve) and any minimum flow requirements for the pumps/chillers.","comfort; energy; schedule"
MEP-018,"DP sensor reading incorrect due to installation or tubing issues","CHW","Mechanical/Controls","Commissioning","Hydronic riser / remote location","DP reading stuck or fluctuating; does not match handheld gauge; control loop unstable","Taps reversed; tubing leaks or blockage; sensor range wrong; sensor not bled; taps too close causing noise; air in lines","Verify high/low taps orientation; inspect tubing for leaks/kinks; bleed sensor lines; compare to handheld DP at same points; check sensor range and wiring; confirm taps located in stable flow region","Correct taps and tubing; bleed lines; calibrate/replace sensor; relocate taps if needed; stabilize readings then retune control","Please confirm the intended hydronic DP measurement points for control and whether remote DP reset is required for this building.","schedule; comfort"
MEP-019,"Chiller enable/disable sequencing not coordinating with BAS schedules","CHW","Controls","Commissioning","Plant controls","Chillers start at wrong times; short cycling; pumps run after hours; space temps drift due to late start","Schedule/holiday config wrong; interlocks missing; min run-time not enforced; incorrect demand calculation; plant lead/lag logic flawed","Review BAS schedules and holidays; trend start/stop events vs occupancy; verify interlocks (flow proving; isolation valves); check minimum run/off times; verify demand logic inputs (OAT; loads; valve position)","Correct schedules and holidays; add minimum runtime and lockouts; fix lead/lag logic; validate interlocks; test start-up and shutdown sequences","Please confirm the plant operating schedule requirements (including holidays) and any constraints on chiller minimum run/off times or staging logic.","energy; cost; schedule"
MEP-020,"Air in chilled water system causing poor heat transfer and noise","CHW","Mechanical","Startup","Hydronic distribution","Gurgling/noisy pipes; unstable coil performance; erratic DP; temperature control inconsistent","Inadequate venting/air separator performance; fill water procedure incomplete; high points not vented; low static pressure; leaks drawing air","Check air separator installation and operation; verify expansion tank charge and system static pressure; vent high points; inspect for leaks; review fill/flush procedure records","Re-commission venting and air removal; correct static pressure; repair leaks; verify air separator sizing and operation; retest coil stability","Please confirm the required system static pressure at the highest point and whether additional manual/automatic vents are specified at high points.","quality; schedule; comfort"
MEP-021,"BMS point mapping/scaling incorrect (values unrealistic)","Controls","Controls","Startup","BAS integration","Temperatures show 200°C or -40°C; valve position 0–100% but stuck; alarms nonsensical","Wrong BACnet object mapped; scaling factor incorrect; units mismatch; analog input type wrong; point names swapped; polarity errors","Perform point-to-point verification; compare BAS values with local controller; check engineering units and scaling; verify write commands change outputs; verify end-to-end sensor signal type","Correct mapping table; update scaling and units; fix point naming; retest point-to-point; document the final I/O list","Please provide the latest control I/O schedule and confirm engineering units and scaling requirements for all temperature and flow-related points in this system.","schedule; quality"
MEP-022,"Sequences of operation implemented differently than design intent","Controls","Controls","Commissioning","AHU/VAV controls","System behaves logically but not per design (e.g., SAT reset missing; lockouts ignored); owner expectations not met","Outdated control narrative used; missed addenda; field changes not reflected; programmer assumptions; incomplete handoff from design team","Compare current logic to control narrative; identify deltas and list them; trend key states to show behavior; review addenda/RFIs; confirm stakeholder expectations (owner/commissioning)","Create a sequence delta report; request design confirmation; update programming to match approved intent; re-test functional performance; archive approved final narrative","Please confirm the approved sequence of operation for this system (including all addenda/RFI responses) and identify any acceptable deviations for field conditions.","schedule; quality; rework"
MEP-023,"Trend logs missing, wrong interval, or wrong point list for commissioning","Controls","Controls","Commissioning","BAS trending","Commissioning cannot verify performance; data too sparse; missing key points; trends overwritten too fast","Trend configuration incomplete; sampling interval too long; limited historian capacity; wrong points selected; retention policy too short","Review required commissioning trend list; verify sampling intervals; verify retention length; spot-check timestamp accuracy; confirm historian storage capacity; export sample trend files","Configure trend templates per system; adjust sampling/retention; add key points (setpoints, commands, feedback); validate exports; document trend setup for handover","Please confirm the required trend point list, sampling intervals, and minimum retention period needed for commissioning sign-off and owner operations.","schedule; quality"
MEP-024,"Alarm flooding or nuisance alarms during startup/commissioning","Controls","Controls","Startup","BAS alarms","Hundreds of alarms; operators ignore important ones; commissioning slowed due to noise","Alarm thresholds too tight; missing delays; wrong priority; equipment not in service but alarming; stale points","Review top alarm sources; check thresholds/delays/priorities; confirm commissioning mode or suppression rules; validate point quality; test alarm behavior with controlled disturbances","Implement commissioning alarm suppression rules; set sensible delays and priorities; refine thresholds; clear stale alarms; establish an alarm philosophy for handover","Please confirm the alarm priority and delay requirements for this system, and whether a temporary commissioning alarm suppression mode is acceptable.","safety; schedule; quality"
MEP-025,"Air balancing cannot achieve design flows due to insufficient fan static pressure","TAB","TAB/Mechanical","TAB","Air distribution","Many terminals below target; balancing dampers fully open; fan at high speed; static near limit","Fan design static not achieved; duct restrictions; fire/smoke dampers partially closed; filters too restrictive; VFD limits; incorrect sheaves or rotation","Measure fan total/static pressure and compare to schedule; verify fan rotation; inspect filters and dampers; check VFD max speed limit; look for constrictions and closed dampers","Remove restrictions; correct fan setup and VFD limits; verify damper positions; adjust sheaves if allowed; revisit design assumptions if necessary; re-test TAB","Please confirm the required fan total and static pressure at design flow, and whether any field changes (filters; duct routing; dampers) require an updated airside calculation.","schedule; rework; comfort"
MEP-026,"Airflow measurement stations installed incorrectly (orientation/straight runs)","TAB","TAB","TAB","Main ducts and risers","Flow station readings unreliable; large variance between methods; control loop unstable when based on flow","Insufficient straight duct upstream/downstream; flow station installed backwards; turbulence from fittings; sensors not seated; incorrect averaging","Verify installation orientation and location relative to fittings; compare station to pitot traverse; inspect sensor probes; check manufacturer requirements; evaluate turbulence sources","Relocate station to suitable straight run; correct orientation; add flow conditioning if needed; recalibrate; avoid using unstable readings for critical control until fixed","Please confirm the acceptable airflow measurement accuracy for this application and whether relocating the flow station is permissible if current location cannot meet requirements.","quality; schedule"
MEP-027,"Terminal unit balancing conflicts with control setpoints (TAB vs BAS)","TAB","TAB/Controls","TAB","VAV/FCU terminals","TAB setpoints keep changing; airflow drifts after balancing; commissioning repeats","BAS overrides active; setpoints tied to schedules; demand-control adjusting; integrator changes during TAB; wrong operating mode during balancing","Verify BAS is in TAB mode and overrides locked; confirm schedules/occupancy states; trend min/max setpoints during TAB; coordinate with controls contractor; document final setpoints","Use a dedicated TAB mode with fixed setpoints; freeze schedules; coordinate change control; record final values; verify stable after returning to auto","Please confirm the required TAB mode procedure (fixed setpoints; overrides; schedules) and who has authority to change setpoints during TAB.","schedule; rework; quality"
MEP-028,"Cleanroom pressure cascade unstable; differential pressure alarms frequent","Cleanroom Pressurization","Mechanical/Controls","Commissioning","Cleanroom suite","Room-to-room ΔP fluctuates; door openings trigger long recovery; alarms during normal operations; particle control concerns","Control loops too aggressive; sensor placement near doors or turbulence; supply/exhaust tracking not coordinated; door interlocks missing; airflow too low at minimum","Trend ΔP, supply/exhaust flows, and control outputs; verify sensor placement and tubing; test door event recovery time; check supply/exhaust tracking logic and limits; verify minimum airflow during occupied/unoccupied modes","Relocate/average sensors; retune loops with deadbands and recovery logic; implement supply/exhaust tracking with limits; adjust minimum airflows; validate recovery times and alarm delays","Please confirm the required cleanroom pressure cascade targets (ΔP setpoints and tolerances) and acceptable recovery time after door openings for each room in the suite.","quality; compliance; schedule"
MEP-029,"Cleanroom room differential pressure sensor drifts or disagrees with handheld gauge","Cleanroom Pressurization","Controls","Commissioning","Cleanroom suite / critical rooms","ΔP sensor reading slowly drifts; alarms despite stable airflow; inconsistent with portable manometer","Sensor not zeroed; tubing leaks/kinks; sensor range too wide/narrow; port placement in turbulent zones; temperature effects; reference side exposed to pressure swings","Perform zero check (equalize ports) and record offset; inspect tubing for leaks and kinks; compare to handheld manometer at same ports; verify sensor range and mounting; check reference port location and shielding","Calibrate/replace sensor; fix tubing; relocate pressure taps; add filtering/averaging; set alarm delays to avoid nuisance without masking true failures","Please confirm the required accuracy class and range for cleanroom differential pressure sensors and the approved tap locations (room vs corridor reference).","quality; compliance; schedule"
MEP-030,"Supply/exhaust tracking fails to maintain pressure during mode changes","Cleanroom Pressurization","Mechanical/Controls","Commissioning","Cleanroom suite / mode change (occupied to unoccupied)","Room goes negative/positive during mode transitions; exhaust ramps late; supply stays high; interlocks not behaving","Mode change logic missing sequencing; exhaust VFD limits; dampers slow; incorrect minimum airflow; incorrect priority between temperature and pressurization; interlock signals delayed","Trend mode state, supply/exhaust commands, ΔP, and damper positions; test transition sequence step-by-step; verify VFD ramp limits; check damper stroke speed; validate minimums for each mode","Implement staged transitions (exhaust lead/lag); set ramp rates and delays; ensure pressurization has priority during transitions; adjust minimums; re-test and document sequences","Please confirm the intended operating modes (occupied/unoccupied/setback) and the required supply/exhaust sequencing and priorities during mode transitions for cleanroom pressurization control.","quality; compliance; safety; schedule"
